55	2	863.0	1
100	2	863.0	2
230	2	863.0	3
1379	2	863.0	4
1649	2	863.0	5
2821	2	863.0	6
2976	2	863.0	7
3430	2	863.0	8
3652	2	863.0	9
3684	2	863.0	10
4111	2	863.0	11
4246	2	863.0	12
4543	2	863.0	13
4869	2	863.0	14
5248	2	863.0	15
5416	2	863.0	16
5545	2	863.0	17
5614	2	863.0	18
6136	2	863.0	19
6245	2	863.0	20
6773	2	863.0	21
7269	2	863.0	22
7420	2	863.0	23
7678	2	863.0	24
7717	2	863.0	25
7783	2	863.0	26
7802	2	863.0	27
7934	2	863.0	28
8628	2	863.0	29
9984	2	863.0	30
239	70	23.3286	31
62	88	22.3864	32
96	85	22.1529	33
25	73	20.4521	34
167	70	19.6714	35
35	78	17.9487	36
210	72	16.1528	37
150	70	15.5429	38
8	204	15.5294	39
48	95	14.9263	40
66	145	14.8207	41
170	75	14.1867	42
60	91	12.4396	43
7	162	11.8889	44
69	156	11.6923	45
38	151	10.8013	46
31	120	10.2833	47
29	261	9.84291	48
3	706	9.77479	49
1	719	9.59944	50
10	328	9.33841	51
2	805	8.4323	52
0	921	8.35939	53
9	440	7.99545	54
4	511	7.88454	55
119	293	7.48464	56
14	748	5.91444	57
50	100	5.09	58
99	108	4.99074	59
117	89	4.29213	60
