0	921	8.35939	31
2	805	8.4323	32
14	748	5.91444	33
1	719	9.59944	34
3	706	9.77479	35
4	511	7.88454	36
9	440	7.99545	37
10	328	9.33841	38
119	293	7.48464	39
29	261	9.84291	40
8	204	15.5294	41
7	162	11.8889	42
69	156	11.6923	43
38	151	10.8013	44
66	145	14.8207	45
31	120	10.2833	46
99	108	4.99074	47
50	100	5.09	48
48	95	14.9263	49
60	91	12.4396	50
9984	2	863.0	1
8628	2	863.0	2
7934	2	863.0	3
7802	2	863.0	4
7783	2	863.0	5
7717	2	863.0	6
7678	2	863.0	7
7420	2	863.0	8
7269	2	863.0	9
6773	2	863.0	10
6245	2	863.0	11
6136	2	863.0	12
5614	2	863.0	13
5545	2	863.0	14
5416	2	863.0	15
5248	2	863.0	16
4869	2	863.0	17
4543	2	863.0	18
4246	2	863.0	19
4111	2	863.0	20
3684	2	863.0	21
3652	2	863.0	22
3430	2	863.0	23
2976	2	863.0	24
2821	2	863.0	25
1649	2	863.0	26
1379	2	863.0	27
230	2	863.0	28
100	2	863.0	29
55	2	863.0	30
